path,size,expected,status
/mnt/mrdr/mc02/t1570_mrrde_40n238_0327_4.img,155917344,155917344,OK
/mnt/mrdr/mc02/t1570_mrrsu_40n238_0327_4.img,492370560,492370560,OK
/mnt/mrdr/mc02/t1631_mrral_45n183_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1631_mrrde_45n183_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1631_mrrsu_45n183_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1632_mrral_45n188_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1632_mrrde_45n188_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1632_mrrsu_45n188_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1633_mrral_45n193_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1633_mrrde_45n193_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1633_mrrsu_45n193_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1634_mrral_45n198_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1634_mrrde_45n198_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1634_mrrsu_45n198_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1635_mrral_45n203_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1635_mrrde_45n203_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1635_mrrsu_45n203_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1636_mrral_45n208_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1636_mrrde_45n208_0327_4.img,143856752,143856752,OK
/mnt/mrdr/mc02/t1636_mrrsu_45n208_0327_4.img,454284480,454284480,OK
/mnt/mrdr/mc02/t1637_mrral_45n213_0327_4.img,545141376,545141376,OK
/mnt/mrdr/mc02/t1637_mrrde_45n213_0327_4.img,143856752,143856752,OK
