,olivine,lcp,hcp,plagioclase,alteration
olivine,8.537736462515939e-07,2.5176158827131707,0.8811172876567134,1.1951126204223732,2.3375921810741813
lcp,2.5176158827131707,0.0,1.9566562620764911,1.55193668229337,2.9810991127176054
hcp,0.8811172876567134,1.9566562620764911,8.537736462515939e-07,1.0107652156134441,2.4162151726497934
plagioclase,1.1951126204223732,1.55193668229337,1.0107652156134441,1.2074182697257333e-06,2.4179475059071067
alteration,2.3375921810741813,2.9810991127176054,2.4162151726497934,2.4179475059071067,0.0
